Date,Time,Open,High,Low,Close
2/23,11:55,384.38,384.39,383.87,383.99
2/23,11:50,383.92,384.45,383.79,384.39
2/23,11:45,384.09,384.31,383.89,383.9138
2/23,11:40,384.85,384.9,383.98,384.0909
2/23,11:35,385.28,385.39,384.77,384.84
2/23,11:30,384.74,385.29,384.28,385.28
2/23,11:25,384.595,384.78,384.27,384.73
2/23,11:20,384.82,384.89,384.47,384.6001
2/23,11:15,385.56,385.85,384.8,384.8398
2/23,11:10,385.71,385.91,385.375,385.53
2/23,11:05,386.1,386.13,385.49,385.71
2/23,11:00,385.245,386.13,385.03,386.1
2/23,10:55,385.61,385.62,385.05,385.24
2/23,10:50,385.48,385.69,385.13,385.63
2/23,10:45,384.63,385.71,384.59,385.475
2/23,10:40,384.33,384.72,383.915,384.65
2/23,10:35,384.03,384.38,383.66,384.33
2/23,10:30,384.37,384.37,383.58,384.04
2/23,10:25,384.11,384.37,383.97,384.37
2/23,10:20,383.29,384.17,382.98,384.12
2/23,10:15,383.24,383.34,382.75,383.2814
2/23,10:10,383.47,383.83,383.18,383.25
2/23,10:05,383.1,383.49,382.3,383.455
2/23,10:00,382.23,383.09,381.43,383.09
2/23,9:55,382.1,382.575,381.88,382.2394
2/23,9:50,380.86,382.27,380.2,382.1
2/23,9:45,382.14,382.18,380.86,380.86
2/23,9:40,382.92,383.22,382.11,382.13
2/23,9:35,383.66,383.98,382.92,382.93
2/23,9:30,384.66,384.73,383.58,383.67
2/22,15:55,387.18,387.41,386.84,387.08
2/22,15:50,387.69,387.75,387.09,387.17
2/22,15:45,387.57,387.89,387.57,387.71
2/22,15:40,387.57,387.77,387.32,387.56
2/22,15:35,387.78,387.81,387.41,387.57
2/22,15:30,387.68,388.08,387.65,387.78
2/22,15:25,388.0199,388.11,387.63,387.68
2/22,15:20,388.18,388.345,387.92,388.015
2/22,15:15,388.2369,388.44,388.15,388.18
2/22,15:10,388.42,388.51,388.02,388.23
2/22,15:05,388.57,388.65,388.32,388.41
2/22,15:00,388.9,388.92,388.54,388.5601
2/22,14:55,388.7601,388.93,388.75,388.91
2/22,14:50,388.9,389.12,388.74,388.76
2/22,14:45,389.0399,389.105,388.87,388.89
2/22,14:40,389.11,389.15,389.02,389.03
2/22,14:35,389.2001,389.25,389.08,389.1114
2/22,14:30,389.23,389.34,389.13,389.2
2/22,14:25,389.15,389.3,389.13,389.25
2/22,14:20,389.195,389.2,389.06,389.155
2/22,14:15,388.985,389.3,388.975,389.19
2/22,14:10,389.2299,389.23,388.9719,388.987
2/22,14:05,389.2701,389.4016,389.21,389.21
2/22,14:00,389.38,389.48,389.24,389.273
2/22,13:55,389.45,389.62,389.33,389.39
2/22,13:50,389.37,389.48,389.36,389.45
2/22,13:45,389.415,389.52,389.32,389.37
2/22,13:40,389.4,389.45,389.3,389.4
2/22,13:35,389.2986,389.46,389.2986,389.4
2/22,13:30,389.22,389.42,389.195,389.3
2/22,13:25,388.94,389.24,388.9301,389.238
2/22,13:20,388.755,389.14,388.75,388.941
2/22,13:15,388.72,388.87,388.7199,388.75
2/22,13:10,388.65,388.79,388.53,388.72
2/22,13:05,388.5987,388.71,388.52,388.645
2/22,13:00,388.77,388.86,388.5701,388.595
2/22,12:55,388.645,388.88,388.57,388.78
2/22,12:50,388.43,388.67,388.39,388.6413
2/22,12:45,388.44,388.53,388.38,388.43
2/22,12:40,388.415,388.58,388.29,388.4499
2/22,12:35,388.23,388.54,388.14,388.41
2/22,12:30,388.0399,388.24,387.84,388.22
2/22,12:25,387.82,388.21,387.72,388.0418
2/22,12:20,387.83,388.04,387.77,387.83
2/22,12:15,387.735,387.9499,387.57,387.835
2/22,12:10,387.7384,387.81,387.57,387.75
2/22,12:05,387.84,387.95,387.65,387.74
2/22,12:00,388.04,388.0499,387.72,387.86
2/22,11:55,387.925,388.079,387.795,388.0399
2/22,11:50,387.8616,388.185,387.86,387.925
2/22,11:45,388.035,388.15,387.77,387.8501
2/22,11:40,388.0975,388.18,387.935,388.02
2/22,11:35,387.71,388.25,387.71,388.09
2/22,11:30,387.92,388.03,387.68,387.7
2/22,11:25,388.03,388.12,387.9089,387.92
2/22,11:20,387.8439,388.09,387.78,388.03
