Time,Open,High,Low,Last
3/24/21 9:40,391.51,391.59,391.22,391.57
3/24/21 9:45,391.57,392.00,391.22,391.22
3/24/21 9:50,391.22,391.28,390.61,390.84
3/24/21 9:55,390.84,391.03,390.68,390.71
3/24/21 10:00,390.70,391.34,390.59,391.11
3/24/21 10:05,391.11,391.57,391.08,391.30
3/24/21 10:10,391.30,391.66,391.04,391.27
3/24/21 10:15,391.27,391.34,390.27,390.38
3/24/21 10:20,390.38,390.97,390.36,390.69
3/24/21 10:25,390.70,390.89,390.53,390.86
3/24/21 10:30,390.88,391.02,390.52,390.77
3/24/21 10:35,390.76,391.31,390.72,391.17
3/24/21 10:40,391.18,391.49,391.15,391.28
3/24/21 10:45,391.29,391.95,391.29,391.80
3/24/21 10:50,391.79,392.24,391.76,392.23
3/24/21 10:55,392.23,392.38,392.17,392.23
3/24/21 11:00,392.24,392.52,392.23,392.52
3/24/21 11:05,392.51,392.75,392.33,392.36
3/24/21 11:10,392.37,392.51,392.15,392.32
3/24/21 11:15,392.33,392.48,392.08,392.09
3/24/21 11:20,392.07,392.14,391.91,392.09
3/24/21 11:25,392.09,392.47,392.02,392.12
3/24/21 11:30,392.12,392.28,391.88,392.00
3/24/21 11:35,392.00,392.08,391.78,391.90
3/24/21 11:40,391.90,391.93,391.57,391.82
3/24/21 11:45,391.81,391.98,391.63,391.74
3/24/21 11:50,391.75,391.87,391.51,391.56
3/24/21 11:55,391.56,391.57,391.18,391.47
3/24/21 12:00,391.47,391.86,391.43,391.74
3/24/21 12:05,391.73,392.13,391.65,392.05
3/24/21 12:10,392.04,392.11,391.77,392.04
3/24/21 12:15,392.03,392.25,391.90,392.09
3/24/21 12:20,392.08,392.21,391.95,392.01
3/24/21 12:25,392.00,392.20,391.69,392.17
3/24/21 12:30,392.18,392.23,391.75,391.92
3/24/21 12:35,391.92,392.10,391.78,392.06
3/24/21 12:40,392.07,392.31,391.96,392.22
3/24/21 12:45,392.21,392.24,391.51,391.54
3/24/21 12:50,391.55,391.60,391.30,391.38
3/24/21 12:55,391.37,391.56,391.30,391.35
3/24/21 13:00,391.36,391.36,390.77,391.06
3/24/21 13:05,391.05,391.11,390.59,390.76
3/24/21 13:10,390.77,390.78,390.23,390.23
3/24/21 13:15,390.24,390.31,389.99,390.31
3/24/21 13:20,390.31,390.67,390.23,390.67
3/24/21 13:25,390.67,390.88,390.51,390.77
3/24/21 13:30,390.76,390.95,390.66,390.66
3/24/21 13:35,390.67,390.94,390.58,390.90
3/24/21 13:40,390.90,390.97,389.92,389.95
3/24/21 13:45,389.95,391.02,389.92,391.02
3/24/21 13:50,391.03,391.30,391.02,391.06
3/24/21 13:55,391.05,391.32,391.03,391.29
3/24/21 14:00,391.30,391.35,390.72,390.94
3/24/21 14:05,390.94,391.27,390.85,391.17
3/24/21 14:10,391.15,391.27,390.94,390.99
3/24/21 14:15,391.00,391.39,390.98,391.18
3/24/21 14:20,391.18,391.42,390.99,391.01
3/24/21 14:25,391.01,391.09,390.40,390.43
3/24/21 14:30,390.42,390.42,389.94,390.23
3/24/21 14:35,390.23,390.47,390.06,390.19
3/24/21 14:40,390.18,390.25,389.73,389.83
3/24/21 14:45,389.81,390.59,389.75,390.59
3/24/21 14:50,390.58,390.58,389.64,389.66
3/24/21 14:55,389.66,390.01,389.50,389.59
3/24/21 15:00,389.60,389.94,389.41,389.75
3/24/21 15:05,389.76,390.19,389.73,389.95
3/24/21 15:10,389.94,390.10,389.53,389.85
3/24/21 15:15,389.85,390.18,389.59,390.01
3/24/21 15:20,390.01,390.03,389.29,389.58
3/24/21 15:25,389.57,389.75,389.34,389.38
3/24/21 15:30,389.39,389.51,388.85,388.87
3/24/21 15:35,388.86,389.12,388.63,388.70
3/24/21 15:40,388.70,389.02,388.62,388.66
3/24/21 15:45,388.65,389.16,388.54,388.89
3/24/21 15:50,388.90,388.90,388.18,388.20
3/24/21 15:55,388.20,388.27,387.47,387.63
3/25/21 9:30,385.98,386.35,385.55,385.55
3/25/21 9:35,385.55,386.57,385.40,386.18
3/25/21 9:40,386.18,386.46,385.83,385.95
3/25/21 9:45,385.94,386.56,385.74,386.16
3/25/21 9:50,386.16,386.16,385.02,385.48
3/25/21 9:55,385.48,386.37,385.09,386.27
3/25/21 10:00,386.27,387.05,386.01,386.93
3/25/21 10:05,386.93,387.28,386.79,387.07
3/25/21 10:10,387.08,387.30,386.74,386.82
3/25/21 10:15,386.81,386.81,386.07,386.44
3/25/21 10:20,386.43,387.10,386.43,386.58
3/25/21 10:25,386.58,386.90,386.03,386.04
3/25/21 10:30,386.05,386.36,385.77,385.83
3/25/21 10:35,385.83,385.98,385.45,385.77
3/25/21 10:40,385.77,385.83,385.02,385.27
3/25/21 10:45,385.26,385.53,384.67,384.69
3/25/21 10:50,384.71,384.71,384.01,384.07
3/25/21 10:55,384.07,384.86,383.90,384.82
3/25/21 11:00,384.85,384.85,384.03,384.13
3/25/21 11:05,384.12,384.83,383.95,384.36
3/25/21 11:10,384.36,385.20,384.23,385.16
3/25/21 11:15,385.14,385.30,384.99,385.25
3/25/21 11:20,385.26,385.34,384.96,384.97
3/25/21 11:25,384.96,385.69,384.54,385.69
3/25/21 11:30,385.69,386.36,385.50,386.23
3/25/21 11:35,386.24,386.31,386.01,386.06
3/25/21 11:40,386.04,386.12,385.31,385.33
3/25/21 11:45,385.31,385.74,385.03,385.35
3/25/21 11:50,385.35,385.95,385.17,385.89
3/25/21 11:55,385.87,386.98,385.63,386.85
3/25/21 12:00,386.86,387.23,386.55,387.05
3/25/21 12:05,387.03,387.08,386.63,386.71
3/25/21 12:10,386.72,386.98,386.41,386.43
3/25/21 12:15,386.42,387.38,386.42,387.30
3/25/21 12:20,387.31,387.53,387.11,387.51
3/25/21 12:25,387.51,387.84,387.50,387.64
3/25/21 12:30,387.65,387.83,387.55,387.67
3/25/21 12:35,387.67,387.77,387.42,387.56
3/25/21 12:40,387.57,388.05,387.51,387.96
3/25/21 12:45,387.95,388.41,387.93,388.29
3/25/21 12:50,388.27,388.33,388.03,388.11
3/25/21 12:55,388.12,388.30,388.03,388.07
3/25/21 13:00,388.07,388.09,387.34,387.87
3/25/21 13:05,387.87,388.19,387.73,387.94
3/25/21 13:10,387.94,388.60,387.81,388.52
3/25/21 13:15,388.53,388.73,388.06,388.21
3/25/21 13:20,388.22,388.40,387.85,387.93
3/25/21 13:25,387.93,388.14,387.71,387.81
3/25/21 13:30,387.81,388.13,387.52,387.62
3/25/21 13:35,387.61,387.79,387.24,387.66
3/25/21 13:40,387.66,388.38,387.66,388.27
3/25/21 13:45,388.26,388.52,387.64,387.96
3/25/21 13:50,387.96,388.12,387.70,387.93
3/25/21 13:55,387.94,388.00,387.31,387.37
